Nombre,�lt.,% Dif.,M�x.,M�n.,Volumen,Efectivo (miles �),Fecha
ACCIONA,"142,4000","1,14","143,2000","139,6000",134.488,"19.042,13",24/03/2021
ACERINOX,"11,0500","2,60","11,0550","10,7800",671.049,"7.345,84",24/03/2021
ACS,"27,6800","2,67","28,1800","27,3800",888.509,"24.599,10",24/03/2021
AENA,"137,6000","3,07","138,2000","134,2000",166.770,"22.797,76",24/03/2021
ALMIRALL,"13,0500","-2,54","13,4500","12,9200",610.789,"8.010,02",24/03/2021
AMADEUS,"60,5800","2,78","60,7600","59,1400",607.532,"36.665,92",24/03/2021
ARCELORMIT.,"24,4450","2,65","24,5400","23,7750",479.619,"11.609,19",24/03/2021
B.SANTANDER,"2,9415","2,71","2,9480","2,8805",35.868.164,"105.038,97",24/03/2021
BA.SABADELL,"0,4744","5,45","0,4745","0,4530",38.473.521,"18.027,23",24/03/2021
BANKINTER,"6,0380","2,44","6,0440","5,9360",2.556.132,"15.309,34",24/03/2021
BBVA,"4,4990","3,02","4,5100","4,4240",17.184.277,"77.122,30",24/03/2021
CAIXABANK,"2,6860","3,71","2,7000","2,6060",14.169.456,"37.814,07",24/03/2021
CELLNEX,"47,1000","0,90","47,4800","45,4000",5.651.888,"265.698,48",24/03/2021
CIE AUTOMOT.,"22,7400","2,52","22,7400","22,2600",102.434,"2.316,50",24/03/2021
ENAGAS,"18,4800","-0,75","18,7400","18,4200",688.474,"12.738,87",24/03/2021
ENDESA,"22,8500","0,04","22,9000","22,6200",1.221.668,"27.877,97",24/03/2021
FERROVIAL,"22,2000","0,32","22,3400","22,0000",1.038.824,"23.062,40",24/03/2021
FLUIDRA,"24,6500","4,45","24,6500","23,8000",641.259,"15.466,96",24/03/2021
GRIFOLS CL.A,"22,4700","-1,75","23,0000","22,4200",878.381,"19.829,03",24/03/2021
IAG,"2,3580","4,61","2,3690","2,2660",14.639.376,"34.187,52",24/03/2021
IBERDROLA,"10,8950","-1,27","11,0100","10,8300",7.991.985,"87.183,31",24/03/2021
INDITEX,"28,3500","0,96","28,4900","28,0900",1.213.973,"34.377,72",24/03/2021
INDRA A,"7,5450","-0,85","7,7000","7,5300",695.102,"5.287,48",24/03/2021
INM.COLONIAL,"8,4100","1,75","8,4400","8,2900",580.876,"4.880,54",24/03/2021
MAPFRE,"1,8160","1,17","1,8250","1,8000",4.582.129,"8.310,17",24/03/2021
MELIA HOTELS,"6,4450","2,79","6,4800","6,3150",760.078,"4.875,93",24/03/2021
MERLIN,"8,7900","1,09","8,8800","8,7500",862.746,"7.592,43",24/03/2021
NATURGY,"20,9100","-0,90","21,1400","20,9000",431.616,"9.038,82",24/03/2021
PHARMA MAR,"97,3500","-0,51","100,5000","96,8500",88.959,"8.724,73",24/03/2021
R.E.C.,"14,9300","0,30","15,0800","14,8600",1.731.203,"25.890,10",24/03/2021
REPSOL,"10,6700","-0,28","10,8350","10,6000",4.557.409,"48.760,90",24/03/2021
SIEMENS GAME,"31,2800","5,78","31,2800","29,7800",2.425.268,"74.562,31",24/03/2021
SOLARIA,"17,9200","3,46","17,9500","17,1300",694.467,"12.275,96",24/03/2021
TELEFONICA,"3,8380","-1,01","3,9580","3,8380",24.877.502,"96.233,21",24/03/2021
VISCOFAN,"58,4500","-0,51","58,8500","58,2500",46.654,"2.726,57",24/03/2021